date, pm25
2023/3/9, 54
2023/3/10, 52
2023/3/11, 52
2023/3/12, 53
2023/3/13, 60
2023/3/14, 53
2023/3/15, 48
2023/3/16, 53
2023/3/17, 58
2023/3/18, 55
2023/3/19, 53
2023/3/20, 52
2023/3/21, 50
2023/3/22, 57
2023/3/23, 58
2023/3/24, 56
2023/3/25, 56
2023/3/26, 54
2023/3/27, 47
2023/3/28, 50
2023/3/29, 57
2023/3/30, 56
2023/3/31, 52
